idx,concurrent,op_type,size,lat
0,1,rd,2048,7.037818431854248e-05
1,1,wr,2048,7.74189829826355e-05
2,1,rd,4096,6.629526615142822e-05
3,1,wr,4096,7.37309455871582e-05
4,1,rd,8192,7.480382919311523e-05
5,1,wr,8192,7.350742816925049e-05
6,1,rd,16384,7.306784391403198e-05
7,1,wr,16384,8.144974708557129e-05
8,1,rd,32768,7.90134072303772e-05
9,1,wr,32768,9.51811671257019e-05
10,1,rd,65536,9.87127423286438e-05
11,1,wr,65536,9.579956531524658e-05
12,1,rd,131072,9.462982416152954e-05
13,1,wr,131072,8.808821439743042e-05
14,1,rd,262144,8.437782526016235e-05
15,1,wr,262144,8.6955726146698e-05
16,1,rd,524288,8.590519428253174e-05
17,1,wr,524288,8.846819400787354e-05
18,1,rd,1048576,8.539855480194092e-05
19,1,wr,1048576,9.237974882125854e-05
20,1,rd,2048,9.340047836303711e-05
21,1,wr,2048,9.052455425262451e-05
22,1,rd,4096,8.02651047706604e-05
23,1,wr,4096,8.222460746765137e-05
24,1,rd,8192,8.544325828552246e-05
25,1,wr,8192,9.509176015853882e-05
26,1,rd,16384,9.006261825561523e-05
27,1,wr,16384,9.921938180923462e-05
28,1,rd,32768,9.273737668991089e-05
29,1,wr,32768,9.112060070037842e-05
30,1,rd,65536,9.103119373321533e-05
31,1,wr,65536,9.419769048690796e-05
32,1,rd,131072,8.764117956161499e-05
33,1,wr,131072,9.18656587600708e-05
34,1,rd,262144,9.331852197647095e-05
35,1,wr,262144,0.00012312829494476318
36,1,rd,524288,0.00013781338930130005
37,1,wr,524288,0.00013558566570281982
38,1,rd,1048576,8.192658424377441e-05
39,1,wr,1048576,8.875131607055664e-05
40,1,rd,2048,9.340047836303711e-05
41,1,wr,2048,9.052455425262451e-05
42,1,rd,4096,8.02651047706604e-05
43,1,wr,4096,8.222460746765137e-05
44,1,rd,8192,8.544325828552246e-05
45,1,wr,8192,9.509176015853882e-05
46,1,rd,16384,9.006261825561523e-05
47,1,wr,16384,9.921938180923462e-05
48,1,rd,32768,9.273737668991089e-05
49,1,wr,32768,9.112060070037842e-05
50,1,rd,65536,9.103119373321533e-05
51,1,wr,65536,9.419769048690796e-05
52,1,rd,131072,8.764117956161499e-05
53,1,wr,131072,9.18656587600708e-05
54,1,rd,262144,9.331852197647095e-05
55,1,wr,262144,0.00012312829494476318
56,1,rd,524288,0.00013781338930130005
57,1,wr,524288,0.00013558566570281982
58,1,rd,1048576,8.192658424377441e-05
59,1,wr,1048576,8.875131607055664e-05
60,10,rd,2048,0.0001050308346748352
61,10,wr,2048,9.698420763015747e-05
62,10,rd,4096,7.748603820800781e-05
63,10,wr,4096,7.621943950653076e-05
64,10,rd,8192,8.354336023330688e-05
65,10,wr,8192,8.676201105117798e-05
66,10,rd,16384,8.580833673477173e-05
67,10,wr,16384,9.2335045337677e-05
68,10,rd,32768,9.438395500183105e-05
69,10,wr,32768,9.307265281677246e-05
70,10,rd,65536,8.703768253326416e-05
71,10,wr,65536,9.955465793609619e-05
72,10,rd,131072,9.150803089141846e-05
73,10,wr,131072,9.433925151824951e-05
74,10,rd,262144,8.832663297653198e-05
75,10,wr,262144,9.050220251083374e-05
76,10,rd,524288,8.734315633773804e-05
77,10,wr,524288,8.910894393920898e-05
78,10,rd,1048576,9.229034185409546e-05
79,10,wr,1048576,8.987635374069214e-05
80,10,rd,2048,8.421391248703003e-05
81,10,wr,2048,8.704513311386108e-05
82,10,rd,4096,8.795410394668579e-05
83,10,wr,4096,8.343905210494995e-05
84,10,rd,8192,8.335709571838379e-05
85,10,wr,8192,9.033083915710449e-05
86,10,rd,16384,9.367614984512329e-05
87,10,wr,16384,9.423494338989258e-05
88,10,rd,32768,9.804964065551758e-05
89,10,wr,32768,9.77739691734314e-05
90,10,rd,65536,9.665638208389282e-05
91,10,wr,65536,0.00011166930198669434
92,10,rd,131072,9.47415828704834e-05
93,10,wr,131072,9.636580944061279e-05
94,10,rd,262144,9.529292583465576e-05
95,10,wr,262144,9.708106517791748e-05
96,10,rd,524288,9.51811671257019e-05
97,10,wr,524288,9.780377149581909e-05
98,10,rd,1048576,0.00010926276445388794
99,10,wr,1048576,9.685009717941284e-05
100,10,rd,2048,7.472187280654907e-05
101,10,wr,2048,7.58245587348938e-05
102,10,rd,4096,7.385015487670898e-05
103,10,wr,4096,7.564574480056763e-05
104,10,rd,8192,7.850676774978638e-05
105,10,wr,8192,7.56680965423584e-05
106,10,rd,16384,7.690489292144775e-05
107,10,wr,16384,9.441375732421875e-05
108,10,rd,32768,9.023398160934448e-05
109,10,wr,32768,9.248405694961548e-05
110,10,rd,65536,8.774548768997192e-05
111,10,wr,65536,9.594112634658813e-05
112,10,rd,131072,9.305030107498169e-05
113,10,wr,131072,9.268522262573242e-05
114,10,rd,262144,9.43988561630249e-05
115,10,wr,262144,9.359419345855713e-05
116,10,rd,524288,9.278208017349243e-05
117,10,wr,524288,9.257346391677856e-05
118,10,rd,1048576,9.161978960037231e-05
119,10,wr,1048576,8.862465620040894e-05
120,10,rd,2048,9.655207395553589e-05
121,10,wr,2048,8.729100227355957e-05
122,10,rd,4096,8.246302604675293e-05
123,10,wr,4096,0.00011116266250610352
124,10,rd,8192,0.00011179596185684204
125,10,wr,8192,0.00011840462684631348
126,10,rd,16384,8.417665958404541e-05
127,10,wr,16384,7.362663745880127e-05
128,10,rd,32768,8.446723222732544e-05
129,10,wr,32768,7.853657007217407e-05
130,10,rd,65536,8.64863395690918e-05
131,10,wr,65536,8.61436128616333e-05
132,10,rd,131072,7.808953523635864e-05
133,10,wr,131072,8.255243301391602e-05
134,10,rd,262144,7.986277341842651e-05
135,10,wr,262144,8.777529001235962e-05
136,10,rd,524288,8.475780487060547e-05
137,10,wr,524288,8.764863014221191e-05
138,10,rd,1048576,8.370727300643921e-05
139,10,wr,1048576,8.592009544372559e-05
140,10,rd,2048,0.00010047107934951782
141,10,wr,2048,8.435547351837158e-05
142,10,rd,4096,8.45789909362793e-05
143,10,wr,4096,8.513033390045166e-05
144,10,rd,8192,9.059160947799683e-05
145,10,wr,8192,9.122490882873535e-05
146,10,rd,16384,9.033083915710449e-05
147,10,wr,16384,9.613484144210815e-05
148,10,rd,32768,9.740889072418213e-05
149,10,wr,32768,9.830296039581299e-05
150,10,rd,65536,9.876489639282227e-05
151,10,wr,65536,9.619444608688354e-05
152,10,rd,131072,9.788572788238525e-05
153,10,wr,131072,9.778141975402832e-05
154,10,rd,262144,9.59634780883789e-05
155,10,wr,262144,9.717047214508057e-05
156,10,rd,524288,9.174644947052002e-05
157,10,wr,524288,9.55536961555481e-05
158,10,rd,1048576,8.990615606307983e-05
159,10,wr,1048576,9.378790855407715e-05
160,10,rd,2048,9.686499834060669e-05
161,10,wr,2048,7.961690425872803e-05
162,10,rd,4096,7.66366720199585e-05
163,10,wr,4096,7.909536361694336e-05
164,10,rd,8192,8.04513692855835e-05
165,10,wr,8192,8.506327867507935e-05
166,10,rd,16384,7.96690583229065e-05
167,10,wr,16384,8.221715688705444e-05
168,10,rd,32768,8.402019739151001e-05
169,10,wr,32768,8.704513311386108e-05
170,10,rd,65536,9.046494960784912e-05
171,10,wr,65536,9.082257747650146e-05
172,10,rd,131072,9.118765592575073e-05
173,10,wr,131072,9.42125916481018e-05
174,10,rd,262144,8.607655763626099e-05
175,10,wr,262144,9.554624557495117e-05
176,10,rd,524288,9.109824895858765e-05
177,10,wr,524288,8.864700794219971e-05
178,10,rd,1048576,8.953362703323364e-05
179,10,wr,1048576,9.299814701080322e-05
180,10,rd,2048,8.848309516906738e-05
181,10,wr,2048,8.411705493927002e-05
182,10,rd,4096,7.413327693939209e-05
183,10,wr,4096,8.533895015716553e-05
184,10,rd,8192,7.367134094238281e-05
185,10,wr,8192,8.380413055419922e-05
186,10,rd,16384,8.29547643661499e-05
187,10,wr,16384,8.355081081390381e-05
188,10,rd,32768,8.903443813323975e-05
189,10,wr,32768,9.150803089141846e-05
190,10,rd,65536,8.771568536758423e-05
191,10,wr,65536,9.47117805480957e-05
192,10,rd,131072,9.812414646148682e-05
193,10,wr,131072,9.246915578842163e-05
194,10,rd,262144,9.237229824066162e-05
195,10,wr,262144,0.00010009109973907471
196,10,rd,524288,8.689612150192261e-05
197,10,wr,524288,9.259581565856934e-05
198,10,rd,1048576,9.466707706451416e-05
199,10,wr,1048576,8.974224328994751e-05
200,10,rd,2048,9.270012378692627e-05
201,10,wr,2048,9.080767631530762e-05
202,10,rd,4096,0.00010751932859420776
203,10,wr,4096,0.00011722743511199951
204,10,rd,8192,0.00013267993927001953
205,10,wr,8192,0.00013365596532821655
206,10,rd,16384,9.820610284805298e-05
207,10,wr,16384,7.416307926177979e-05
208,10,rd,32768,8.115172386169434e-05
209,10,wr,32768,7.37607479095459e-05
210,10,rd,65536,8.20159912109375e-05
211,10,wr,65536,9.211152791976929e-05
212,10,rd,131072,7.247179746627808e-05
213,10,wr,131072,8.412450551986694e-05
214,10,rd,262144,7.972121238708496e-05
215,10,wr,262144,9.288638830184937e-05
216,10,rd,524288,8.80807638168335e-05
217,10,wr,524288,9.927153587341309e-05
218,10,rd,1048576,8.953362703323364e-05
219,10,wr,1048576,9.101629257202148e-05
220,10,rd,2048,7.949024438858032e-05
221,10,wr,2048,8.713454008102417e-05
222,10,rd,4096,8.200854063034058e-05
223,10,wr,4096,7.658451795578003e-05
224,10,rd,8192,7.703155279159546e-05
225,10,wr,8192,9.188055992126465e-05
226,10,rd,16384,8.863955736160278e-05
227,10,wr,16384,9.185820817947388e-05
228,10,rd,32768,8.988380432128906e-05
229,10,wr,32768,0.00010334700345993042
230,10,rd,65536,9.496510028839111e-05
231,10,wr,65536,9.4585120677948e-05
232,10,rd,131072,9.53376293182373e-05
233,10,wr,131072,9.728223085403442e-05
234,10,rd,262144,9.012222290039062e-05
235,10,wr,262144,9.702891111373901e-05
236,10,rd,524288,9.74014401435852e-05
237,10,wr,524288,9.765475988388062e-05
238,10,rd,1048576,0.00010091066360473633
239,10,wr,1048576,0.00010243803262710571
240,10,rd,2048,9.003281593322754e-05
241,10,wr,2048,7.534772157669067e-05
242,10,rd,4096,7.196515798568726e-05
243,10,wr,4096,7.094442844390869e-05
244,10,rd,8192,7.638335227966309e-05
245,10,wr,8192,7.881969213485718e-05
246,10,rd,16384,7.832050323486328e-05
247,10,wr,16384,8.958578109741211e-05
248,10,rd,32768,8.098036050796509e-05
249,10,wr,32768,9.304285049438477e-05
250,10,rd,65536,8.929520845413208e-05
251,10,wr,65536,0.00010126829147338867
252,10,rd,131072,9.131431579589844e-05
253,10,wr,131072,9.154528379440308e-05
254,10,rd,262144,0.00010072439908981323
255,10,wr,262144,9.572505950927734e-05
256,10,rd,524288,8.791685104370117e-05
257,10,wr,524288,9.023398160934448e-05
258,10,rd,1048576,8.591264486312866e-05
259,10,wr,1048576,9.716302156448364e-05
260,20,rd,2048,0.00011262297630310059
261,20,wr,2048,9.953975677490234e-05
262,20,rd,4096,8.288025856018066e-05
263,20,wr,4096,8.529424667358398e-05
264,20,rd,8192,7.712095975875854e-05
265,20,wr,8192,8.912384510040283e-05
266,20,rd,16384,8.326023817062378e-05
267,20,wr,16384,8.545815944671631e-05
268,20,rd,32768,7.711350917816162e-05
269,20,wr,32768,8.40798020362854e-05
270,20,rd,65536,7.740408182144165e-05
271,20,wr,65536,8.64863395690918e-05
272,20,rd,131072,7.46995210647583e-05
273,20,wr,131072,7.766485214233398e-05
274,20,rd,262144,7.561594247817993e-05
275,20,wr,262144,7.606297731399536e-05
276,20,rd,524288,7.315725088119507e-05
277,20,wr,524288,8.553266525268555e-05
278,20,rd,1048576,9.09566879272461e-05
279,20,wr,1048576,8.840858936309814e-05
280,20,rd,2048,8.893013000488281e-05
281,20,wr,2048,7.734447717666626e-05
282,20,rd,4096,8.090585470199585e-05
283,20,wr,4096,7.802993059158325e-05
284,20,rd,8192,7.452815771102905e-05
285,20,wr,8192,8.56742262840271e-05
286,20,rd,16384,8.340179920196533e-05
287,20,wr,16384,8.71121883392334e-05
288,20,rd,32768,8.50185751914978e-05
289,20,wr,32768,8.779764175415039e-05
290,20,rd,65536,9.255856275558472e-05
291,20,wr,65536,9.702146053314209e-05
292,20,rd,131072,9.01445746421814e-05
293,20,wr,131072,0.00010605156421661377
294,20,rd,262144,9.127706289291382e-05
295,20,wr,262144,9.587407112121582e-05
296,20,rd,524288,9.102374315261841e-05
297,20,wr,524288,8.951127529144287e-05
298,20,rd,1048576,9.42721962928772e-05
299,20,wr,1048576,9.499490261077881e-05
300,20,rd,2048,7.840991020202637e-05
301,20,wr,2048,7.020682096481323e-05
302,20,rd,4096,7.311254739761353e-05
303,20,wr,4096,7.894635200500488e-05
304,20,rd,8192,7.396936416625977e-05
305,20,wr,8192,7.829070091247559e-05
306,20,rd,16384,7.401406764984131e-05
307,20,wr,16384,8.612871170043945e-05
308,20,rd,32768,7.965415716171265e-05
309,20,wr,32768,9.742379188537598e-05
310,20,rd,65536,8.910149335861206e-05
311,20,wr,65536,9.226799011230469e-05
312,20,rd,131072,8.918344974517822e-05
313,20,wr,131072,9.025633335113525e-05
314,20,rd,262144,8.846074342727661e-05
315,20,wr,262144,8.669495582580566e-05
316,20,rd,524288,8.59573483467102e-05
317,20,wr,524288,8.702278137207031e-05
318,20,rd,1048576,9.115785360336304e-05
319,20,wr,1048576,9.104609489440918e-05
320,20,rd,2048,0.00011595338582992554
321,20,wr,2048,9.078532457351685e-05
322,20,rd,4096,7.90134072303772e-05
323,20,wr,4096,7.668137550354004e-05
324,20,rd,8192,8.291006088256836e-05
325,20,wr,8192,8.799880743026733e-05
326,20,rd,16384,8.982419967651367e-05
327,20,wr,16384,8.847564458847046e-05
328,20,rd,32768,9.576976299285889e-05
329,20,wr,32768,9.809434413909912e-05
330,20,rd,65536,9.059160947799683e-05
331,20,wr,65536,9.054690599441528e-05
332,20,rd,131072,9.069591760635376e-05
333,20,wr,131072,9.273737668991089e-05
334,20,rd,262144,9.701400995254517e-05
335,20,wr,262144,9.64626669883728e-05
336,20,rd,524288,0.00012636929750442505
337,20,wr,524288,8.391588926315308e-05
338,20,rd,1048576,8.095800876617432e-05
339,20,wr,1048576,8.636713027954102e-05
340,20,rd,2048,8.193403482437134e-05
341,20,wr,2048,8.101016283035278e-05
342,20,rd,4096,7.32913613319397e-05
343,20,wr,4096,7.415562868118286e-05
344,20,rd,8192,7.727742195129395e-05
345,20,wr,8192,7.322430610656738e-05
346,20,rd,16384,7.347762584686279e-05
347,20,wr,16384,8.360296487808228e-05
348,20,rd,32768,8.863955736160278e-05
349,20,wr,32768,9.068846702575684e-05
350,20,rd,65536,8.374452590942383e-05
351,20,wr,65536,9.0770423412323e-05
352,20,rd,131072,8.890032768249512e-05
353,20,wr,131072,9.331107139587402e-05
354,20,rd,262144,9.118020534515381e-05
355,20,wr,262144,8.794665336608887e-05
356,20,rd,524288,9.322166442871094e-05
357,20,wr,524288,9.362399578094482e-05
358,20,rd,1048576,8.71121883392334e-05
359,20,wr,1048576,9.29608941078186e-05
360,20,rd,2048,7.508695125579834e-05
361,20,wr,2048,7.161498069763184e-05
362,20,rd,4096,7.151812314987183e-05
363,20,wr,4096,7.453560829162598e-05
364,20,rd,8192,8.343905210494995e-05
365,20,wr,8192,8.556246757507324e-05
366,20,rd,16384,8.212029933929443e-05
367,20,wr,16384,9.02414321899414e-05
368,20,rd,32768,8.650124073028564e-05
369,20,wr,32768,8.96453857421875e-05
370,20,rd,65536,9.224563837051392e-05
371,20,wr,65536,9.766966104507446e-05
372,20,rd,131072,9.904801845550537e-05
373,20,wr,131072,0.00010138750076293945
374,20,rd,262144,8.987635374069214e-05
375,20,wr,262144,9.687244892120361e-05
376,20,rd,524288,9.930133819580078e-05
377,20,wr,524288,9.644776582717896e-05
378,20,rd,1048576,9.147822856903076e-05
379,20,wr,1048576,9.840726852416992e-05
380,20,rd,2048,7.852166891098022e-05
381,20,wr,2048,7.850676774978638e-05
382,20,rd,4096,7.27623701095581e-05
383,20,wr,4096,8.615106344223022e-05
384,20,rd,8192,7.495284080505371e-05
385,20,wr,8192,8.189678192138672e-05
386,20,rd,16384,8.360296487808228e-05
387,20,wr,16384,9.099394083023071e-05
388,20,rd,32768,8.944422006607056e-05
389,20,wr,32768,9.576976299285889e-05
390,20,rd,65536,9.246170520782471e-05
391,20,wr,65536,9.445101022720337e-05
392,20,rd,131072,9.075552225112915e-05
393,20,wr,131072,0.00011216849088668823
394,20,rd,262144,0.00010694563388824463
395,20,wr,262144,0.00011086463928222656
396,20,rd,524288,9.086728096008301e-05
397,20,wr,524288,8.12336802482605e-05
398,20,rd,1048576,9.171664714813232e-05
399,20,wr,1048576,8.350610733032227e-05
400,20,rd,2048,0.0001051872968673706
401,20,wr,2048,8.02651047706604e-05
402,20,rd,4096,9.0084969997406e-05
403,20,wr,4096,9.001046419143677e-05
404,20,rd,8192,8.56742262840271e-05
405,20,wr,8192,9.93087887763977e-05
406,20,rd,16384,8.974969387054443e-05
407,20,wr,16384,9.898841381072998e-05
408,20,rd,32768,9.582936763763428e-05
409,20,wr,32768,0.00010523200035095215
410,20,rd,65536,9.800493717193604e-05
411,20,wr,65536,0.00010113418102264404
412,20,rd,131072,0.00010503828525543213
413,20,wr,131072,0.00010292232036590576
414,20,rd,262144,9.644031524658203e-05
415,20,wr,262144,9.623914957046509e-05
416,20,rd,524288,9.850412607192993e-05
417,20,wr,524288,9.817630052566528e-05
418,20,rd,1048576,0.00010025501251220703
419,20,wr,1048576,0.00010579824447631836
420,20,rd,2048,9.047985076904297e-05
421,20,wr,2048,8.581578731536865e-05
422,20,rd,4096,8.558481931686401e-05
423,20,wr,4096,8.685886859893799e-05
424,20,rd,8192,9.042024612426758e-05
425,20,wr,8192,0.00010675191879272461
426,20,rd,16384,9.050220251083374e-05
427,20,wr,16384,0.00010345131158828735
428,20,rd,32768,9.463727474212646e-05
429,20,wr,32768,0.00010088831186294556
430,20,rd,65536,8.254498243331909e-05
431,20,wr,65536,8.82372260093689e-05
432,20,rd,131072,8.45789909362793e-05
433,20,wr,131072,8.78646969795227e-05
434,20,rd,262144,8.75517725944519e-05
435,20,wr,262144,9.842216968536377e-05
436,20,rd,524288,9.232014417648315e-05
437,20,wr,524288,9.401142597198486e-05
438,20,rd,1048576,9.524822235107422e-05
439,20,wr,1048576,9.574741125106812e-05
440,20,rd,2048,9.153783321380615e-05
441,20,wr,2048,8.890777826309204e-05
442,20,rd,4096,8.013099431991577e-05
443,20,wr,4096,8.685886859893799e-05
444,20,rd,8192,8.516758680343628e-05
445,20,wr,8192,8.992105722427368e-05
446,20,rd,16384,9.188055992126465e-05
447,20,wr,16384,9.816139936447144e-05
448,20,rd,32768,9.37432050704956e-05
449,20,wr,32768,0.0001064985990524292
450,20,rd,65536,9.573996067047119e-05
451,20,wr,65536,0.00010102242231369019
452,20,rd,131072,9.176135063171387e-05
453,20,wr,131072,0.00010190904140472412
454,20,rd,262144,9.686499834060669e-05
455,20,wr,262144,0.0001023709774017334
456,20,rd,524288,9.164959192276001e-05
457,20,wr,524288,0.00010097026824951172
458,20,rd,1048576,0.00010497868061065674
459,20,wr,1048576,9.71481204032898e-05
460,20,rd,2048,7.510930299758911e-05
461,20,wr,2048,7.71060585975647e-05
462,20,rd,4096,7.240474224090576e-05
463,20,wr,4096,7.494539022445679e-05
464,20,rd,8192,7.390975952148438e-05
465,20,wr,8192,7.921457290649414e-05
466,20,rd,16384,8.279085159301758e-05
467,20,wr,16384,7.908046245574951e-05
468,20,rd,32768,8.509308099746704e-05
469,20,wr,32768,8.60169529914856e-05
470,20,rd,65536,9.26777720451355e-05
471,20,wr,65536,9.457021951675415e-05
472,20,rd,131072,9.725242853164673e-05
473,20,wr,131072,0.00010028481483459473
474,20,rd,262144,9.197741746902466e-05
475,20,wr,262144,9.544938802719116e-05
476,20,rd,524288,9.020417928695679e-05
477,20,wr,524288,9.47415828704834e-05
478,20,rd,1048576,8.774548768997192e-05
479,20,wr,1048576,9.73045825958252e-05
480,20,rd,2048,7.803738117218018e-05
481,20,wr,2048,9.218603372573853e-05
482,20,rd,4096,9.08002257347107e-05
483,20,wr,4096,7.618218660354614e-05
484,20,rd,8192,7.268041372299194e-05
485,20,wr,8192,8.679181337356567e-05
486,20,rd,16384,8.194148540496826e-05
487,20,wr,16384,8.868426084518433e-05
488,20,rd,32768,9.24915075302124e-05
489,20,wr,32768,8.840113878250122e-05
490,20,rd,65536,8.469074964523315e-05
491,20,wr,65536,9.684264659881592e-05
492,20,rd,131072,9.601563215255737e-05
493,20,wr,131072,9.890645742416382e-05
494,20,rd,262144,9.173154830932617e-05
495,20,wr,262144,9.188801050186157e-05
496,20,rd,524288,8.341670036315918e-05
497,20,wr,524288,8.901208639144897e-05
498,20,rd,1048576,9.09268856048584e-05
499,20,wr,1048576,9.480118751525879e-05
500,20,rd,2048,0.00010267645120620728
501,20,wr,2048,0.00010216236114501953
502,20,rd,4096,9.150058031082153e-05
503,20,wr,4096,8.10772180557251e-05
504,20,rd,8192,7.637590169906616e-05
505,20,wr,8192,8.225440979003906e-05
506,20,rd,16384,8.330494165420532e-05
507,20,wr,16384,8.585304021835327e-05
508,20,rd,32768,8.801370859146118e-05
509,20,wr,32768,9.003281593322754e-05
510,20,rd,65536,9.112060070037842e-05
511,20,wr,65536,9.530037641525269e-05
512,20,rd,131072,0.00010056048631668091
513,20,wr,131072,9.519606828689575e-05
514,20,rd,262144,9.544938802719116e-05
515,20,wr,262144,0.0001023411750793457
516,20,rd,524288,9.146332740783691e-05
517,20,wr,524288,9.386241436004639e-05
518,20,rd,1048576,9.16793942451477e-05
519,20,wr,1048576,9.651482105255127e-05
520,20,rd,2048,6.84782862663269e-05
521,20,wr,2048,8.084625005722046e-05
522,20,rd,4096,9.064376354217529e-05
523,20,wr,4096,9.268522262573242e-05
524,20,rd,8192,8.623301982879639e-05
525,20,wr,8192,7.389485836029053e-05
526,20,rd,16384,7.493048906326294e-05
527,20,wr,16384,7.715821266174316e-05
528,20,rd,32768,7.2479248046875e-05
529,20,wr,32768,8.212029933929443e-05
530,20,rd,65536,7.984787225723267e-05
531,20,wr,65536,7.906556129455566e-05
532,20,rd,131072,0.00013177841901779175
533,20,wr,131072,0.00013224780559539795
534,20,rd,262144,0.00012345612049102783
535,20,wr,262144,7.148832082748413e-05
536,20,rd,524288,8.993595838546753e-05
537,20,wr,524288,0.00010421872138977051
538,20,rd,1048576,0.0001094713807106018
539,20,wr,1048576,0.00010702759027481079
540,20,rd,2048,9.216368198394775e-05
541,20,wr,2048,8.624792098999023e-05
542,20,rd,4096,8.363276720046997e-05
543,20,wr,4096,8.85501503944397e-05
544,20,rd,8192,8.499622344970703e-05
545,20,wr,8192,8.816272020339966e-05
546,20,rd,16384,8.903443813323975e-05
547,20,wr,16384,9.441375732421875e-05
548,20,rd,32768,9.28640365600586e-05
549,20,wr,32768,9.95248556137085e-05
550,20,rd,65536,9.470432996749878e-05
551,20,wr,65536,9.933114051818848e-05
552,20,rd,131072,9.861588478088379e-05
553,20,wr,131072,9.679049253463745e-05
554,20,rd,262144,9.640306234359741e-05
555,20,wr,262144,9.674578905105591e-05
556,20,rd,524288,9.423494338989258e-05
557,20,wr,524288,9.565800428390503e-05
558,20,rd,1048576,9.496510028839111e-05
559,20,wr,1048576,0.00010357797145843506
560,20,rd,2048,7.743388414382935e-05
561,20,wr,2048,8.074939250946045e-05
562,20,rd,4096,7.727742195129395e-05
563,20,wr,4096,8.300691843032837e-05
564,20,rd,8192,7.849931716918945e-05
565,20,wr,8192,8.37966799736023e-05
566,20,rd,16384,8.246302604675293e-05
567,20,wr,16384,8.641183376312256e-05
568,20,rd,32768,9.50545072555542e-05
569,20,wr,32768,9.623914957046509e-05
570,20,rd,65536,8.976459503173828e-05
571,20,wr,65536,9.666383266448975e-05
572,20,rd,131072,9.340047836303711e-05
573,20,wr,131072,9.341537952423096e-05
574,20,rd,262144,9.482353925704956e-05
575,20,wr,262144,9.604543447494507e-05
576,20,rd,524288,9.612739086151123e-05
577,20,wr,524288,0.0001022443175315857
578,20,rd,1048576,9.310990571975708e-05
579,20,wr,1048576,9.678304195404053e-05
580,20,rd,2048,8.297711610794067e-05
581,20,wr,2048,7.72327184677124e-05
582,20,rd,4096,7.612258195877075e-05
583,20,wr,4096,8.050352334976196e-05
584,20,rd,8192,8.07046890258789e-05
585,20,wr,8192,8.383393287658691e-05
586,20,rd,16384,8.90195369720459e-05
587,20,wr,16384,9.018182754516602e-05
588,20,rd,32768,9.062886238098145e-05
589,20,wr,32768,9.462982416152954e-05
590,20,rd,65536,9.402632713317871e-05
591,20,wr,65536,9.674578905105591e-05
592,20,rd,131072,9.911507368087769e-05
593,20,wr,131072,0.00010720640420913696
594,20,rd,262144,9.670853614807129e-05
595,20,wr,262144,9.651482105255127e-05
596,20,rd,524288,9.351223707199097e-05
597,20,wr,524288,9.71481204032898e-05
598,20,rd,1048576,9.303539991378784e-05
599,20,wr,1048576,0.00010488927364349365
600,20,rd,2048,9.495764970779419e-05
601,20,wr,2048,0.00010006874799728394
602,20,rd,4096,7.51987099647522e-05
603,20,wr,4096,7.331371307373047e-05
604,20,rd,8192,7.744133472442627e-05
605,20,wr,8192,8.122622966766357e-05
606,20,rd,16384,8.94591212272644e-05
607,20,wr,16384,8.691102266311646e-05
608,20,rd,32768,8.498132228851318e-05
609,20,wr,32768,9.308755397796631e-05
610,20,rd,65536,9.451806545257568e-05
611,20,wr,65536,9.547173976898193e-05
612,20,rd,131072,9.308010339736938e-05
613,20,wr,131072,9.10833477973938e-05
614,20,rd,262144,9.272992610931396e-05
615,20,wr,262144,9.480118751525879e-05
616,20,rd,524288,9.06139612197876e-05
617,20,wr,524288,9.613484144210815e-05
618,20,rd,1048576,8.96155834197998e-05
619,20,wr,1048576,0.00010794401168823242
620,20,rd,2048,7.2479248046875e-05
621,20,wr,2048,7.202476263046265e-05
622,20,rd,4096,8.36104154586792e-05
623,20,wr,4096,8.589029312133789e-05
624,20,rd,8192,8.053332567214966e-05
625,20,wr,8192,8.42660665512085e-05
626,20,rd,16384,7.971376180648804e-05
627,20,wr,16384,8.834153413772583e-05
628,20,rd,32768,7.7076256275177e-05
629,20,wr,32768,8.101016283035278e-05
630,20,rd,65536,9.023398160934448e-05
631,20,wr,65536,9.359419345855713e-05
632,20,rd,131072,9.53972339630127e-05
633,20,wr,131072,9.644776582717896e-05
634,20,rd,262144,9.140372276306152e-05
635,20,wr,262144,9.658932685852051e-05
636,20,rd,524288,8.716434240341187e-05
637,20,wr,524288,9.312480688095093e-05
638,20,rd,1048576,9.132921695709229e-05
639,20,wr,1048576,9.499490261077881e-05
640,20,rd,2048,0.00010054558515548706
641,20,wr,2048,9.612739086151123e-05
642,20,rd,4096,0.00010263174772262573
643,20,wr,4096,7.77021050453186e-05
644,20,rd,8192,0.00010350346565246582
645,20,wr,8192,7.523596286773682e-05
646,20,rd,16384,7.930397987365723e-05
647,20,wr,16384,8.28281044960022e-05
648,20,rd,32768,8.186697959899902e-05
649,20,wr,32768,9.200721979141235e-05
650,20,rd,65536,7.635354995727539e-05
651,20,wr,65536,7.381290197372437e-05
652,20,rd,131072,7.53551721572876e-05
653,20,wr,131072,7.21365213394165e-05
654,20,rd,262144,7.098168134689331e-05
655,20,wr,262144,7.643550634384155e-05
656,20,rd,524288,7.308274507522583e-05
657,20,wr,524288,8.060038089752197e-05
658,20,rd,1048576,7.339566946029663e-05
659,20,wr,1048576,7.576495409011841e-05
